Habit,Date,Status,Comment
No Alcohol,2025-04-17,fail,
No Alcohol,2025-04-18,success,
No Smoking,2025-04-10,fail,
No Alcohol,2025-04-19,success,
No Alcohol,2025-04-20,success,
No Alcohol,2025-04-21,skip,
No Alcohol,2025-04-22,fail,
No Alcohol,2025-04-23,skip,
No Alcohol,2025-04-24,success,
No Alcohol,2025-04-25,success,
No Smoking,2025-04-23,fail,
No Alcohol,2025-04-26,fail,
No Alcohol,2025-04-28,success,
No Smoking,2025-04-21,fail,
No Alcohol,2025-04-29,success,
No Alcohol,2025-04-30,skip,
No Alcohol,2025-05-01,success,
No Smoking,2025-04-24,fail,
No Smoking,2025-04-25,fail,
No Smoking,2025-04-26,fail,
No Smoking,2025-04-27,fail,
No Smoking,2025-04-28,fail,
No Alcohol,2025-05-02,fail,
No Alcohol,2025-05-05,success,
No Alcohol,2025-05-09,success,
No Alcohol,2025-05-10,success,
No Smoking,2025-02-16,fail,
No Alcohol,2025-05-03,success,
No Alcohol,2025-05-04,success,
No Alcohol,2025-05-06,fail,
Wake Up Early ( < 8:00 am ),2024-09-14,fail,
No Alcohol,2025-05-07,fail,
No Alcohol,2025-05-08,success,
No Alcohol,2025-05-11,skip,
No Smoking,2025-04-15,fail,
No Smoking,2025-05-10,fail,
No Alcohol,2025-05-12,skip,
No Alcohol,2025-05-13,skip,
No Alcohol,2025-05-14,skip,
No Alcohol,2025-05-15,fail,
No Alcohol,2025-05-16,fail,
No Smoking,2025-04-19,fail,
No Smoking,2025-05-11,fail,
No Alcohol,2025-05-17,success,
No Smoking,2025-04-16,fail,
No Smoking,2025-04-17,skip,
No Smoking,2025-04-18,fail,
No Smoking,2025-04-20,fail,
No Alcohol,2025-05-19,success,
No Smoking,2025-05-05,fail,
No Smoking,2025-05-06,fail,
No Smoking,2025-05-08,fail,
No Alcohol,2025-05-18,success,
No Smoking,2025-05-07,fail,
No Smoking,2025-05-09,fail,
No Smoking,2025-05-12,fail,
No Alcohol,2025-05-20,success,
No Alcohol,2025-05-21,success,
No Smoking,2025-05-15,fail,
No Smoking,2025-05-16,fail,
No Smoking,2025-05-18,fail,
No Smoking,2025-05-19,fail,
No Smoking,2025-05-20,fail,
No Smoking,2025-05-21,fail,
No Alcohol,2025-05-22,fail,
No Smoking,2025-05-04,fail,
No Alcohol,2025-05-23,fail,
No Alcohol,2025-05-24,success,
No Alcohol,2025-05-25,skip,
No Alcohol,2025-05-26,success,
No Alcohol,2025-05-27,fail,
No Smoking,2025-04-22,fail,
No Smoking,2025-05-23,fail,
No Smoking,2025-05-24,fail,
No Smoking,2025-05-25,fail,
No Smoking,2025-05-26,fail,
No Alcohol,2025-05-28,fail,
No Alcohol,2025-06-06,fail,
No Smoking,2025-05-22,fail,
No Alcohol,2025-05-29,success,
No Alcohol,2025-06-04,fail,
No Alcohol,2025-06-07,success,
No Alcohol,2025-06-08,success,
No Alcohol,2025-06-09,success,
No Smoking,2025-05-27,fail,
No Alcohol,2025-06-10,skip,
No Alcohol,2025-06-11,success,
No Alcohol,2025-06-12,success,
No Alcohol,2025-06-13,success,
No Smoking,2025-05-28,fail,
No Smoking,2025-05-29,fail,
No Alcohol,2025-05-30,fail,
No Alcohol,2025-05-31,success,
No Smoking,2025-05-30,fail,
No Alcohol,2025-06-01,success,
No Alcohol,2025-06-02,success,
No Alcohol,2025-06-03,skip,
No Alcohol,2025-06-05,skip,
No Alcohol,2025-06-14,skip,
No Smoking,2025-05-17,skip,
No Alcohol,2025-06-15,success,
No Alcohol,2025-06-16,skip,
No Alcohol,2025-06-17,success,
No Alcohol,2025-06-18,fail,
No Alcohol,2025-06-19,skip,
No Alcohol,2025-06-20,skip,
No Alcohol,2025-06-21,skip,
No Alcohol,2025-06-22,skip,
No Alcohol,2025-06-23,skip,
No Alcohol,2025-06-24,success,
No Alcohol,2025-06-25,skip,
No Alcohol,2025-06-26,fail,
No Alcohol,2025-06-27,fail,
No Alcohol,2025-06-28,skip,
No Alcohol,2025-06-29,skip,
No Alcohol,2025-06-30,fail,
No Alcohol,2025-07-01,fail,
No Alcohol,2025-07-02,success,
No Alcohol,2025-07-03,success,
No Alcohol,2025-07-04,success,
No Alcohol,2025-07-05,success,
No Alcohol,2025-07-06,fail,
No Alcohol,2025-07-07,skip,
No Alcohol,2025-07-08,success,
No Alcohol,2025-07-09,success,
No Alcohol,2025-07-10,fail,
No Alcohol,2025-07-11,success,
No Alcohol,2025-07-12,success,
No Alcohol,2025-07-13,fail,
No Alcohol,2025-07-14,skip,
No Alcohol,2025-07-15,fail,
No Alcohol,2025-07-16,fail,
No Alcohol,2025-07-17,skip,
No Alcohol,2025-07-18,success,
No Alcohol,2025-07-19,fail,
No Alcohol,2025-07-20,fail,
No Alcohol,2025-07-21,success,
No Alcohol,2025-07-22,fail,
No Alcohol,2025-07-23,success,
No Alcohol,2025-07-24,fail,
No Alcohol,2025-07-25,fail,
No Alcohol,2025-07-26,fail,
No Alcohol,2025-07-27,success,
No Alcohol,2025-07-28,success,
No Alcohol,2025-07-29,fail,
No Alcohol,2025-07-30,fail,
No Alcohol,2025-07-31,fail,
No Alcohol,2025-08-01,fail,
No Alcohol,2025-08-02,fail,
No Alcohol,2025-12-05,fail,
No Alcohol,2025-12-06,success,
No Alcohol,2025-12-07,fail,
No Alcohol,2025-12-08,fail,
No Alcohol,2025-12-09,success,
No Alcohol,2025-12-10,fail,
No Alcohol,2025-12-11,fail,
No Alcohol,2025-12-12,success,
No Smoking,2025-04-29,fail,
No Alcohol,2025-12-13,fail,
No Alcohol,2025-12-14,fail,
No Alcohol,2026-02-23,success,
No Alcohol,2026-02-24,fail,
No Smoking,2025-04-30,fail,
No Smoking,2025-05-01,fail,
No Alcohol,2026-02-25,fail,
No Alcohol,2026-02-26,fail,
No Alcohol,2026-02-27,fail,
No Alcohol,2026-03-01,success,
No Smoking,2025-05-02,fail,
No Smoking,2025-05-03,fail,
No Alcohol,2026-02-28,fail,
No Smoking,2025-05-13,fail,
No Smoking,2025-05-14,fail,
No Smoking,2025-05-31,fail,
No Smoking,2025-06-12,fail,
No Smoking,2025-06-13,fail,
No Alcohol,2025-08-03,success,
No Alcohol,2025-08-04,success,
No Alcohol,2025-08-05,fail,
No Alcohol,2025-08-06,fail,
No Alcohol,2025-08-07,fail,
No Alcohol,2025-08-08,fail,
No Smoking,2025-06-04,fail,
No Smoking,2025-06-11,fail,
No Alcohol,2025-08-09,success,
No Alcohol,2025-08-10,success,
No Alcohol,2025-08-11,fail,
No Alcohol,2025-08-12,success,
No Smoking,2025-06-10,fail,
No Alcohol,2025-08-13,fail,
No Alcohol,2025-08-14,success,
No Alcohol,2025-08-15,fail,
No Alcohol,2025-08-16,fail,
No Smoking,2025-06-06,fail,
No Alcohol,2025-08-17,success,
No Smoking,2025-06-03,fail,
No Smoking,2025-06-09,fail,
No Alcohol,2025-08-18,success,
No Alcohol,2025-08-19,skip,
No Alcohol,2025-08-20,fail,
No Alcohol,2025-08-21,success,
No Alcohol,2025-08-22,fail,
No Alcohol,2025-08-24,fail,
No Smoking,2025-06-07,skip,
No Smoking,2025-06-08,fail,
No Alcohol,2025-08-25,fail,
No Alcohol,2025-08-26,skip,
No Alcohol,2025-08-27,fail,
No Alcohol,2025-12-15,success,
No Smoking,2025-06-01,fail,
No Smoking,2025-06-02,fail,
No Smoking,2025-06-05,fail,
No Alcohol,2025-12-16,fail,
No Alcohol,2025-12-17,success,
No Alcohol,2026-03-02,success,
No Smoking,2025-06-14,fail,
No Smoking,2025-06-15,fail,
No Smoking,2025-06-16,fail,
No Smoking,2025-06-17,fail,
No Smoking,2025-06-18,fail,
No Smoking,2025-06-19,fail,
No Smoking,2025-06-20,fail,
No Smoking,2025-06-21,fail,
No Smoking,2025-06-22,fail,
No Smoking,2025-06-23,fail,
No Smoking,2025-06-24,fail,
No Smoking,2025-06-25,fail,
No Smoking,2025-06-26,fail,
No Alcohol,2026-03-03,skip,
No Smoking,2025-06-27,fail,
No Smoking,2025-06-28,fail,
No Smoking,2025-06-29,fail,
No Smoking,2025-06-30,fail,
No Alcohol,2025-12-18,fail,
No Smoking,2025-07-01,fail,
No Alcohol,2025-12-19,fail,
No Smoking,2025-07-02,success,
No Smoking,2025-07-03,fail,
No Smoking,2025-07-04,fail,
No Smoking,2025-07-05,fail,
No Smoking,2025-07-06,fail,
No Smoking,2025-07-07,fail,
No Smoking,2025-07-08,fail,
No Smoking,2025-07-09,fail,
No Smoking,2025-07-10,fail,
No Smoking,2025-07-11,fail,
No Smoking,2025-07-12,fail,
No Smoking,2025-07-13,fail,
No Smoking,2025-07-14,fail,
No Smoking,2025-07-15,fail,
No Smoking,2025-07-16,fail,
No Smoking,2025-07-17,fail,
No Smoking,2025-07-18,fail,
No Smoking,2025-07-19,fail,
No Smoking,2025-07-20,fail,
No Smoking,2025-07-21,fail,
No Smoking,2025-07-22,fail,
No Smoking,2025-07-23,fail,
No Smoking,2025-07-24,fail,
No Smoking,2025-07-25,fail,
No Smoking,2025-07-26,fail,
No Smoking,2025-07-27,fail,
No Smoking,2025-07-28,fail,
No Smoking,2025-07-29,fail,
No Smoking,2025-07-30,fail,
No Smoking,2025-07-31,fail,
No Smoking,2025-08-01,fail,
No Smoking,2025-08-02,fail,
No Alcohol,2025-08-23,fail,
No Smoking,2025-08-03,fail,
No Smoking,2025-08-04,fail,
No Smoking,2025-08-05,fail,
No Smoking,2025-08-06,fail,
No Alcohol,2026-03-04,fail,
No Smoking,2025-08-07,fail,
No Smoking,2025-08-08,fail,
No Smoking,2025-08-09,success,
No Smoking,2025-08-10,fail,
No Smoking,2025-08-11,fail,
No Smoking,2025-08-12,fail,
No Smoking,2025-08-13,fail,
No Smoking,2025-08-14,fail,
No Smoking,2025-08-15,fail,
No Smoking,2025-08-16,fail,
No Smoking,2025-08-17,fail,
No Smoking,2025-08-18,fail,
No Smoking,2025-08-19,fail,
No Smoking,2025-08-20,fail,
No Smoking,2025-08-21,fail,
No Smoking,2025-08-22,fail,
No Smoking,2025-08-23,fail,
No Smoking,2025-08-24,fail,
No Smoking,2025-08-25,fail,
No Smoking,2025-08-26,fail,
No Smoking,2025-08-27,fail,
No Alcohol,2025-08-28,skip,
No Alcohol,2025-08-29,fail,
No Alcohol,2025-08-30,fail,
No Alcohol,2025-08-31,success,
No Alcohol,2025-09-01,fail,
No Alcohol,2025-09-02,success,
No Alcohol,2025-09-03,fail,
No Alcohol,2025-09-04,fail,
No Alcohol,2025-09-05,fail,
No Alcohol,2025-09-06,fail,
No Smoking,2025-09-02,fail,
No Smoking,2025-09-03,fail,
No Alcohol,2025-09-07,fail,
No Alcohol,2025-09-08,fail,
No Smoking,2025-08-28,fail,
No Smoking,2025-08-29,fail,
No Alcohol,2025-09-10,fail,
No Smoking,2025-08-30,fail,
No Smoking,2025-08-31,skip,
No Smoking,2025-09-01,fail,
No Alcohol,2025-09-11,fail,
No Alcohol,2025-09-12,success,
No Smoking,2025-09-04,fail,
No Alcohol,2025-09-09,fail,
No Smoking,2025-09-05,fail,
No Smoking,2025-09-06,fail,
No Smoking,2025-09-07,fail,
No Alcohol,2025-09-23,fail,
No Smoking,2025-09-08,fail,
No Smoking,2025-09-09,fail,
No Smoking,2025-09-10,fail,
No Smoking,2025-09-11,fail,
No Smoking,2025-09-12,fail,
No Alcohol,2025-09-13,fail,
No Alcohol,2025-09-14,success,
No Alcohol,2025-09-15,fail,
No Alcohol,2025-09-16,skip,
No Alcohol,2025-09-17,skip,
No Alcohol,2025-09-18,fail,
No Alcohol,2025-09-19,fail,
No Alcohol,2025-09-20,fail,
No Alcohol,2025-09-21,success,
No Alcohol,2025-09-22,fail,
No Alcohol,2025-09-24,success,
No Alcohol,2025-09-25,fail,
No Alcohol,2025-09-26,fail,
No Alcohol,2025-09-27,success,
No Alcohol,2025-09-28,success,
No Alcohol,2025-09-29,success,
No Alcohol,2025-09-30,fail,
No Alcohol,2025-10-01,fail,
No Alcohol,2025-10-02,success,
No Alcohol,2025-10-03,fail,
No Alcohol,2025-10-04,fail,
No Alcohol,2025-10-05,success,
No Alcohol,2025-10-06,skip,
No Alcohol,2025-10-07,skip,
No Alcohol,2025-10-08,success,
No Alcohol,2025-10-10,fail,
No Alcohol,2025-10-11,skip,
No Alcohol,2025-10-12,fail,
No Alcohol,2025-10-13,success,
No Alcohol,2025-10-14,fail,
No Alcohol,2025-10-15,fail,
No Alcohol,2025-10-16,fail,
No Alcohol,2025-10-17,success,
No Alcohol,2025-10-18,success,
No Alcohol,2025-10-19,success,
No Alcohol,2025-10-20,fail,
No Alcohol,2025-10-21,success,
No Alcohol,2025-10-22,fail,
No Alcohol,2025-10-23,fail,
No Alcohol,2025-10-24,skip,
No Alcohol,2025-10-25,fail,
No Alcohol,2025-10-26,success,
No Alcohol,2025-10-27,success,
No Alcohol,2025-10-28,success,
No Alcohol,2025-10-29,fail,
No Alcohol,2025-10-30,success,
No Alcohol,2025-10-31,fail,
No Alcohol,2025-11-01,success,
No Smoking,2025-09-13,fail,
No Alcohol,2025-11-02,success,
No Alcohol,2025-11-03,fail,
No Alcohol,2025-11-04,success,
No Alcohol,2025-11-05,fail,
No Alcohol,2025-11-06,fail,
No Smoking,2025-09-14,fail,
No Smoking,2025-09-15,fail,
No Smoking,2025-09-16,fail,
No Smoking,2025-09-17,fail,
No Alcohol,2025-11-07,fail,
No Alcohol,2025-12-20,fail,
No Smoking,2025-09-18,fail,
No Alcohol,2026-03-05,skip,
No Smoking,2025-09-19,fail,
No Alcohol,2025-12-21,success,
No Smoking,2025-09-20,fail,
No Smoking,2025-09-21,fail,
No Smoking,2025-09-22,fail,
No Smoking,2025-09-23,fail,
No Smoking,2025-09-24,fail,
No Smoking,2025-09-25,fail,
No Smoking,2025-09-26,fail,
No Smoking,2025-09-27,fail,
No Smoking,2025-09-28,fail,
No Alcohol,2026-03-06,fail,
No Smoking,2025-09-29,fail,
No Smoking,2025-09-30,fail,
No Smoking,2025-10-01,fail,
No Alcohol,2025-10-09,fail,
No Smoking,2025-10-02,fail,
No Smoking,2025-10-03,fail,
No Smoking,2025-10-04,fail,
No Smoking,2025-10-05,fail,
No Smoking,2025-10-06,fail,
No Smoking,2025-10-07,fail,
No Smoking,2025-10-08,fail,
No Smoking,2025-10-09,fail,
No Smoking,2025-10-10,fail,
No Smoking,2025-10-11,fail,
No Smoking,2025-10-12,fail,
No Smoking,2025-10-13,fail,
No Smoking,2025-10-14,fail,
No Smoking,2025-10-15,fail,
No Smoking,2025-10-16,fail,
No Smoking,2025-10-17,fail,
No Smoking,2025-10-18,fail,
No Smoking,2025-10-19,fail,
No Smoking,2025-10-20,fail,
No Smoking,2025-10-21,fail,
No Smoking,2025-10-22,fail,
No Smoking,2025-10-23,fail,
No Smoking,2025-10-24,fail,
No Smoking,2025-10-25,fail,
No Smoking,2025-10-26,fail,
No Smoking,2025-10-27,fail,
No Smoking,2025-10-28,fail,
No Smoking,2025-10-29,fail,
No Smoking,2025-10-30,fail,
No Smoking,2025-10-31,fail,
No Smoking,2025-11-01,fail,
No Smoking,2025-11-02,fail,
No Smoking,2025-11-03,fail,
No Smoking,2025-11-04,fail,
No Smoking,2025-11-05,fail,
No Smoking,2025-11-06,fail,
No Smoking,2025-11-07,fail,
No Alcohol,2025-11-08,success,
No Alcohol,2025-11-09,success,
No Alcohol,2025-11-10,fail,
No Alcohol,2025-11-11,success,
No Alcohol,2025-11-12,fail,
No Alcohol,2025-11-13,fail,
No Smoking,2025-11-10,fail,
No Alcohol,2025-11-14,success,
No Alcohol,2025-11-17,fail,
No Alcohol,2025-11-19,fail,
No Alcohol,2025-11-20,fail,
No Smoking,2025-11-11,fail,
No Smoking,2025-11-14,success,
No Alcohol,2025-11-15,fail,
No Alcohol,2025-11-16,fail,
No Alcohol,2025-11-18,fail,
No Smoking,2025-11-12,fail,
No Smoking,2025-11-13,fail,
No Alcohol,2025-11-21,skip,
No Smoking,2025-11-15,fail,
Wake Up Early ( < 8:00 am ),2024-05-31,success,
No Smoking,2025-11-16,fail,
No Smoking,2025-11-17,fail,
No Smoking,2025-11-18,fail,
No Smoking,2025-11-19,fail,
No Smoking,2025-11-20,fail,
No Smoking,2025-11-21,fail,
No Alcohol,2025-11-22,fail,
No Alcohol,2025-11-23,success,
No Alcohol,2025-11-24,fail,
No Smoking,2025-11-23,fail,
No Alcohol,2025-11-25,fail,
No Alcohol,2025-11-26,fail,
No Alcohol,2025-11-27,success,
No Alcohol,2025-11-28,success,
No Alcohol,2025-12-28,fail,
No Alcohol,2025-12-30,fail,
No Alcohol,2025-12-31,fail,
No Alcohol,2026-01-01,success,
No Alcohol,2026-01-02,success,
No Alcohol,2026-01-12,success,
No Alcohol,2026-01-13,success,
No Smoking,2025-11-08,skip,
No Alcohol,2025-12-26,fail,
No Alcohol,2025-12-27,fail,
No Alcohol,2025-12-29,fail,
No Alcohol,2026-01-03,fail,
No Alcohol,2026-01-04,success,
No Smoking,2025-11-22,fail,
No Alcohol,2026-01-05,fail,
No Alcohol,2026-01-06,success,
No Alcohol,2026-01-07,success,
No Alcohol,2026-01-08,fail,
No Alcohol,2026-01-09,success,
No Smoking,2025-11-24,fail,
No Smoking,2025-11-25,fail,
No Smoking,2025-11-26,fail,
No Alcohol,2026-01-10,fail,
No Alcohol,2026-01-11,success,
No Alcohol,2026-01-14,success,
No Smoking,2025-11-27,fail,
No Alcohol,2026-01-15,fail,
No Alcohol,2026-03-07,fail,
No Alcohol,2026-03-08,fail,
No Smoking,2025-11-28,fail,
No Alcohol,2025-11-29,fail,
No Alcohol,2025-11-30,skip,
No Alcohol,2025-12-01,fail,
No Alcohol,2025-12-02,success,
No Alcohol,2025-12-03,fail,
No Alcohol,2025-12-04,fail,
No Smoking,2025-11-29,fail,
No Smoking,2025-11-30,fail,
No Smoking,2025-12-01,fail,
No Alcohol,2026-01-20,success,
No Alcohol,2026-01-21,fail,
No Alcohol,2026-01-22,success,
Wake Up Early ( < 8:00 am ),2024-05-15,success,
No Alcohol,2026-01-23,fail,
No Smoking,2025-12-02,fail,
No Alcohol,2025-12-22,success,
No Alcohol,2025-12-23,fail,
No Alcohol,2025-12-24,fail,
No Alcohol,2026-01-16,fail,
No Alcohol,2026-01-17,fail,
No Alcohol,2026-01-18,success,
No Alcohol,2026-01-19,fail,
No Alcohol,2026-01-24,fail,
No Alcohol,2026-01-25,success,
No Smoking,2026-01-24,fail,
No Alcohol,2026-01-26,fail,
No Alcohol,2026-01-27,fail,
No Alcohol,2026-01-28,skip,
No Smoking,2025-12-03,success,
No Smoking,2025-12-04,fail,
No Smoking,2025-12-10,fail,
No Alcohol,2026-01-29,fail,
No Alcohol,2026-01-30,fail,
No Alcohol,2026-01-31,fail,
No Alcohol,2026-02-02,success,
No Alcohol,2026-02-03,success,
No Smoking,2026-01-25,fail,
No Smoking,2026-01-26,fail,
No Alcohol,2026-02-01,success,
No Smoking,2026-01-28,fail,
No Smoking,2026-01-31,fail,
No Alcohol,2026-02-04,fail,
No Smoking,2025-12-09,fail,
No Smoking,2026-01-23,fail,
No Alcohol,2026-02-05,fail,
No Alcohol,2026-02-06,fail,
No Alcohol,2026-02-07,fail,
No Smoking,2026-01-27,fail,
No Smoking,2026-01-30,fail,
No Alcohol,2026-02-08,success,
No Alcohol,2026-02-09,success,
No Alcohol,2026-02-10,skip,
No Smoking,2025-12-15,fail,
No Smoking,2026-01-18,fail,
No Smoking,2026-01-19,fail,
No Smoking,2026-01-29,fail,
No Alcohol,2026-02-11,fail,
No Alcohol,2026-02-12,skip,
No Smoking,2025-12-16,fail,
No Alcohol,2026-02-13,fail,
No Alcohol,2026-02-14,fail,
No Smoking,2025-12-17,fail,
No Alcohol,2026-02-15,success,
No Alcohol,2026-02-16,skip,
No Alcohol,2026-02-17,fail,
No Alcohol,2026-02-18,fail,
No Smoking,2025-12-05,fail,
No Smoking,2025-12-06,success,
No Smoking,2025-12-07,fail,
No Smoking,2025-12-08,fail,
No Smoking,2025-12-11,fail,
No Smoking,2025-12-12,fail,
No Smoking,2025-12-13,fail,
No Smoking,2025-12-14,fail,
No Smoking,2025-12-18,fail,
No Smoking,2025-12-20,fail,
No Smoking,2025-12-21,success,
No Smoking,2025-12-22,fail,
No Smoking,2025-12-23,fail,
No Smoking,2025-12-24,fail,
No Smoking,2025-12-25,fail,
No Smoking,2025-12-26,fail,
No Smoking,2025-12-27,fail,
Wake Up Early ( < 8:00 am ),2024-05-19,fail,
No Smoking,2025-12-28,fail,
No Smoking,2025-12-29,fail,
No Smoking,2025-12-30,fail,
No Smoking,2025-12-31,fail,
No Smoking,2026-01-01,success,
No Smoking,2026-01-02,fail,
No Smoking,2026-01-03,fail,
No Smoking,2026-01-04,fail,
No Smoking,2026-01-05,fail,
No Smoking,2026-01-06,fail,
No Smoking,2026-01-07,fail,
No Smoking,2026-01-08,fail,
No Smoking,2026-01-09,fail,
No Alcohol,2026-02-22,fail,
No Smoking,2026-01-10,fail,
No Smoking,2026-01-11,skip,
No Smoking,2026-01-12,fail,
No Smoking,2026-01-13,fail,
No Smoking,2026-01-14,fail,
No Smoking,2026-01-15,fail,
No Alcohol,2026-02-21,fail,
No Smoking,2026-01-16,fail,
No Smoking,2026-01-17,fail,
No Smoking,2026-01-20,fail,
No Smoking,2026-01-21,fail,
No Smoking,2026-02-01,skip,
No Smoking,2026-02-02,fail,
No Smoking,2026-02-03,fail,
No Smoking,2026-02-04,fail,
No Alcohol,2026-02-19,success,
No Smoking,2026-02-05,fail,
No Smoking,2026-02-06,fail,
No Smoking,2026-02-07,fail,
No Smoking,2026-02-08,success,
No Smoking,2026-02-09,skip,
No Smoking,2026-02-10,fail,
No Smoking,2026-02-11,fail,
No Alcohol,2026-02-20,fail,
No Smoking,2026-02-12,fail,
No Smoking,2026-02-13,fail,
No Smoking,2026-02-14,fail,
No Smoking,2026-02-16,fail,
No Smoking,2026-02-17,fail,
No Smoking,2026-02-18,fail,
No Smoking,2026-02-19,fail,
No Smoking,2026-02-20,fail,
Wake Up Early ( < 8:00 am ),2024-03-13,fail,
No Smoking,2026-02-21,fail,
No Smoking,2026-02-22,fail,
Wake Up Early ( < 8:00 am ),2024-03-17,success,
No Smoking,2026-02-23,fail,
No Smoking,2026-02-24,fail,
No Smoking,2026-02-25,fail,
No Smoking,2026-02-26,fail,
No Smoking,2026-02-27,fail,
No Smoking,2026-02-28,fail,
No Smoking,2026-03-01,fail,
No Smoking,2026-03-02,fail,
No Smoking,2026-03-03,fail,
Wake Up Early ( < 8:00 am ),2024-03-14,fail,
Wake Up Early ( < 8:00 am ),2024-03-16,fail,
No Smoking,2026-03-05,fail,
No Alcohol,2026-03-10,skip,
No Smoking,2026-03-07,fail,
No Smoking,2026-03-08,fail,
No Smoking,2026-03-09,fail,
Wake Up Early ( < 8:00 am ),2024-03-07,empty,
Wake Up Early ( < 8:00 am ),2024-03-08,skip,
No Smoking,2026-03-10,fail,
Wake Up Early ( < 8:00 am ),2024-03-09,skip,
No Smoking,2026-03-06,fail,
Wake Up Early ( < 8:00 am ),2024-03-10,skip,
Wake Up Early ( < 8:00 am ),2024-03-11,success,
Wake Up Early ( < 8:00 am ),2024-03-12,success,
Wake Up Early ( < 8:00 am ),2024-03-15,success,
Wake Up Early ( < 8:00 am ),2024-03-18,success,
Wake Up Early ( < 8:00 am ),2024-03-19,success,
Wake Up Early ( < 8:00 am ),2024-03-20,success,
Wake Up Early ( < 8:00 am ),2024-03-21,success,
Wake Up Early ( < 8:00 am ),2024-03-22,fail,
Wake Up Early ( < 8:00 am ),2024-03-23,success,
Wake Up Early ( < 8:00 am ),2024-03-24,success,
No Alcohol,2026-03-09,skip,
Wake Up Early ( < 8:00 am ),2024-03-25,success,
Wake Up Early ( < 8:00 am ),2024-03-26,success,
Wake Up Early ( < 8:00 am ),2024-03-27,success,
Wake Up Early ( < 8:00 am ),2024-03-28,success,
Wake Up Early ( < 8:00 am ),2024-03-29,success,
Wake Up Early ( < 8:00 am ),2024-03-30,success,
Wake Up Early ( < 8:00 am ),2024-03-31,success,
Wake Up Early ( < 8:00 am ),2024-04-01,success,
Wake Up Early ( < 8:00 am ),2024-04-02,fail,
Wake Up Early ( < 8:00 am ),2024-04-03,fail,
Wake Up Early ( < 8:00 am ),2024-04-04,success,
Wake Up Early ( < 8:00 am ),2024-04-05,success,
Wake Up Early ( < 8:00 am ),2024-04-06,fail,
Wake Up Early ( < 8:00 am ),2024-04-07,success,
No Smoking,2026-03-04,fail,
Wake Up Early ( < 8:00 am ),2024-04-08,success,
Wake Up Early ( < 8:00 am ),2024-04-09,success,
Wake Up Early ( < 8:00 am ),2024-04-10,success,
Wake Up Early ( < 8:00 am ),2024-04-11,skip,
Wake Up Early ( < 8:00 am ),2024-04-12,success,
Wake Up Early ( < 8:00 am ),2024-04-13,skip,
Wake Up Early ( < 8:00 am ),2024-04-14,fail,
Wake Up Early ( < 8:00 am ),2024-04-15,fail,
Wake Up Early ( < 8:00 am ),2024-04-16,success,
Wake Up Early ( < 8:00 am ),2024-04-17,success,
Wake Up Early ( < 8:00 am ),2024-04-18,success,
Wake Up Early ( < 8:00 am ),2024-04-19,success,
Wake Up Early ( < 8:00 am ),2024-04-20,fail,
Wake Up Early ( < 8:00 am ),2024-04-21,success,
Wake Up Early ( < 8:00 am ),2024-04-22,success,
Wake Up Early ( < 8:00 am ),2024-04-23,success,
Wake Up Early ( < 8:00 am ),2024-04-24,success,
Wake Up Early ( < 8:00 am ),2024-04-25,fail,
Wake Up Early ( < 8:00 am ),2024-04-26,fail,
Wake Up Early ( < 8:00 am ),2024-04-27,fail,
Wake Up Early ( < 8:00 am ),2024-04-28,fail,
Wake Up Early ( < 8:00 am ),2024-04-29,success,
Wake Up Early ( < 8:00 am ),2024-04-30,fail,
Wake Up Early ( < 8:00 am ),2024-05-01,success,
Wake Up Early ( < 8:00 am ),2024-05-02,success,
Wake Up Early ( < 8:00 am ),2024-05-03,fail,
Wake Up Early ( < 8:00 am ),2024-05-04,skip,
Wake Up Early ( < 8:00 am ),2024-05-05,skip,
Wake Up Early ( < 8:00 am ),2024-05-06,success,
Wake Up Early ( < 8:00 am ),2024-05-07,success,
Wake Up Early ( < 8:00 am ),2024-05-08,success,
Wake Up Early ( < 8:00 am ),2024-05-09,fail,
Wake Up Early ( < 8:00 am ),2024-05-10,success,
Wake Up Early ( < 8:00 am ),2024-05-11,success,
Wake Up Early ( < 8:00 am ),2024-05-12,success,
Wake Up Early ( < 8:00 am ),2024-05-13,fail,
Wake Up Early ( < 8:00 am ),2024-05-14,success,
Wake Up Early ( < 8:00 am ),2024-05-16,success,
Wake Up Early ( < 8:00 am ),2024-05-17,skip,
Wake Up Early ( < 8:00 am ),2024-05-18,fail,
Wake Up Early ( < 8:00 am ),2024-05-20,fail,
Wake Up Early ( < 8:00 am ),2024-05-21,fail,
Wake Up Early ( < 8:00 am ),2024-05-22,success,
Wake Up Early ( < 8:00 am ),2024-05-23,skip,
Wake Up Early ( < 8:00 am ),2024-05-24,fail,
Wake Up Early ( < 8:00 am ),2024-05-25,success,
Wake Up Early ( < 8:00 am ),2024-05-26,fail,
Wake Up Early ( < 8:00 am ),2024-05-27,success,
Wake Up Early ( < 8:00 am ),2024-05-28,fail,
Wake Up Early ( < 8:00 am ),2024-05-29,success,
Wake Up Early ( < 8:00 am ),2024-05-30,success,
Wake Up Early ( < 8:00 am ),2024-06-01,fail,
Wake Up Early ( < 8:00 am ),2024-06-02,fail,
Wake Up Early ( < 8:00 am ),2024-06-03,fail,
Wake Up Early ( < 8:00 am ),2024-06-04,fail,
No Smoking,2026-02-15,fail,
Wake Up Early ( < 8:00 am ),2024-06-05,fail,
Wake Up Early ( < 8:00 am ),2024-06-06,success,
